Id,DateCreated,DateModified,MerchantId,MerchantAvatar,MerchantCampaignName,Name,Description,TargetUrl,Code,StartDate,EndDate
213551,2022-03-05 01:14:54.077,2024-08-27 17:03:20.560,69853,https://c.cfjump.com/Avatars/c5275f6a-731c-4271-976d-3e3f76d16365.png,Muscle Nation,5% Off Storewide ,"-Storewide and ongoing
-See website for full T&C",https://t.cfjump.com/90610/c/213551,PUSH5,2022-03-05 00:00:00.000,
287754,2024-05-02 15:00:23.513,2024-05-02 15:00:23.513,69088,https://c.cfjump.com/Avatars/0b9096f3-89a6-4721-a4a4-e27349fb378e.png,My Muscle Chef,Spend at least $99 and get $15 off,Offer for returning customers. T&Cs apply,https://t.cfjump.com/90610/c/287754,AFFILIATE15,2024-05-02 00:00:00.000,
288498,2024-08-02 10:41:58.277,2024-08-02 10:41:58.277,69088,https://c.cfjump.com/Avatars/0b9096f3-89a6-4721-a4a4-e27349fb378e.png,My Muscle Chef,Save up to $120 on your first 6 orders,Save up to $120 on your first 6 orders ($20 maximum discount per order). Minimum order $99. T&Cs apply. Full terms & conditions online.,https://t.cfjump.com/90610/c/288498,save120,2024-08-04 00:00:00.000,
290583,2024-11-11 15:09:31.603,2024-11-11 15:09:31.603,69088,https://c.cfjump.com/Avatars/0b9096f3-89a6-4721-a4a4-e27349fb378e.png,My Muscle Chef,Save up to $120 on your first 6 orders,T&Cs apply,https://t.cfjump.com/90610/c/290583,CF120 ,2024-11-11 00:00:00.000,
290584,2024-11-11 15:09:53.463,2024-11-11 15:09:53.463,69088,https://c.cfjump.com/Avatars/0b9096f3-89a6-4721-a4a4-e27349fb378e.png,My Muscle Chef,Save up to $120 on your first 6 orders,T&Cs apply,https://t.cfjump.com/90610/c/290584,BENEFIT120,2024-11-11 00:00:00.000,
290585,2024-11-11 15:10:15.790,2024-11-11 15:10:15.790,69088,https://c.cfjump.com/Avatars/0b9096f3-89a6-4721-a4a4-e27349fb378e.png,My Muscle Chef,Save up to $120 on your first 6 orders,T&Cs apply,https://t.cfjump.com/90610/c/290585,AFFILIATE120,2024-11-11 00:00:00.000,
291086,2024-11-27 14:34:13.773,2024-11-27 14:34:13.773,69088,https://c.cfjump.com/Avatars/0b9096f3-89a6-4721-a4a4-e27349fb378e.png,My Muscle Chef,Save up to $120 on your first 6 orders,,https://t.cfjump.com/90610/c/291086,XHALE120,2024-11-27 00:00:00.000,
220030,2022-11-16 03:23:01.160,2022-11-16 03:23:01.160,81538,https://c.cfjump.com/Avatars/61435fd4-4eb6-4fd0-8d55-e7338f28bd97.png,Natural Life,NMN 20% OFF,,https://t.cfjump.com/90610/c/220030,NLNMN20,2022-11-16 00:00:00.000,
287070,2024-02-27 22:44:57.257,2024-02-27 22:44:57.257,81538,https://c.cfjump.com/Avatars/61435fd4-4eb6-4fd0-8d55-e7338f28bd97.png,Natural Life,"Wildbee Products. Take 20% Off Our Natural, Australian Made Skincare Range. ",No Minimum Order Spend,https://t.cfjump.com/90610/c/287070,WILDBEE20,2024-02-27 00:00:00.000,
287204,2024-03-07 23:09:14.213,2024-08-13 06:06:15.470,81538,https://c.cfjump.com/Avatars/61435fd4-4eb6-4fd0-8d55-e7338f28bd97.png,Natural Life,Shop Now To Receive 15% Off Our Entire Natural Supplement Range. ,No Minimum Order Requirements. ,https://t.cfjump.com/90610/c/287204,NATURALLIFE15,2024-03-07 00:00:00.000,
287205,2024-03-07 23:14:54.153,2024-08-13 06:06:05.813,81538,https://c.cfjump.com/Avatars/61435fd4-4eb6-4fd0-8d55-e7338f28bd97.png,Natural Life,Spend $100 AUD and receive 20% Off Your Order With code NL20	,Minimum Spend $100. ,https://t.cfjump.com/90610/c/287205,NL20,2024-03-07 00:00:00.000,
287206,2024-03-07 23:15:10.547,2024-08-13 06:06:28.470,81538,https://c.cfjump.com/Avatars/61435fd4-4eb6-4fd0-8d55-e7338f28bd97.png,Natural Life,Spend $200 AUD Or More & Receive 25% Off Your Order With Code NL25.	,Minimum Spend $200.,https://t.cfjump.com/90610/c/287206,NL25,2024-03-07 00:00:00.000,
287207,2024-03-07 23:22:42.347,2024-03-07 23:22:42.347,81538,https://c.cfjump.com/Avatars/61435fd4-4eb6-4fd0-8d55-e7338f28bd97.png,Natural Life,Spend Over $200 AUD On Our Wildbee Natural Skincare Range and receive 25% Off Your Order with Code WB25.	,Minimum Spend $200,https://t.cfjump.com/90610/c/287207,WB25,2024-03-07 00:00:00.000,
288697,2024-08-29 02:00:48.530,2024-08-29 02:00:48.530,81538,https://c.cfjump.com/Avatars/61435fd4-4eb6-4fd0-8d55-e7338f28bd97.png,Natural Life,30% Off Our NMN 1500+ Supplement. ,"No Minimum Order Spend
Eligible On Only Our NMN 1500+ Supplement",https://t.cfjump.com/90610/c/288697,NMN30,2024-08-29 00:00:00.000,
288756,2024-09-06 20:53:56.647,2024-09-06 20:53:56.647,81538,https://c.cfjump.com/Avatars/61435fd4-4eb6-4fd0-8d55-e7338f28bd97.png,Natural Life,Natural Life 20% Off Storewide ,"20% off storewide
No minimum order spend",https://t.cfjump.com/90610/c/288756,NATURALLIFE,2024-09-06 00:00:00.000,
219304,2022-10-17 16:01:34.970,2022-10-17 16:01:34.970,81833,https://c.cfjump.com/Avatars/8fe22e19-a5f6-45e7-a820-2abdc366ff38.png,Newentor Australia,cf10extra,This discount code lets you pay 10% less on the whole order value. It applies to all products in the store.,https://t.cfjump.com/90610/c/219304,cf10extra,2022-10-17 00:00:00.000,
279747,2023-10-14 02:36:38.017,2023-10-14 02:36:55.363,80878,https://c.cfjump.com/Avatars/6fe49003-8eac-47a0-99f7-afc75b2cb87e.png,NNE Living,5% off Storewide,,https://t.cfjump.com/90610/c/279747,97XZJ8VMMNV0,2023-10-14 00:00:00.000,
295799,2025-09-03 11:42:56.187,2025-09-03 11:43:37.140,71130,https://c.cfjump.com/Avatars/cd9ebdec-4bbe-4710-a0d6-e73cee7f0215.png,Novo Shoes,Spring Sale 2025 - 20% OFF Full price,insert code during checkout to get 20% Off ,https://t.cfjump.com/90610/c/295799,NOVO20,2025-09-03 00:00:00.000,2025-09-15 23:59:59.000
278728,2023-08-16 12:15:49.163,2023-08-16 12:15:49.163,80527,https://c.cfjump.com/Avatars/fea43cbe-083e-4890-9d14-16e2c6cbfaa9.png,Peak Chocolate,Rest Chocolate 15% off,,https://t.cfjump.com/90610/c/278728,REST15,2023-08-16 00:00:00.000,
288152,2024-06-19 10:46:55.273,2025-05-23 14:57:13.800,89536,https://c.cfjump.com/Avatars/f10604f3-11b2-4339-99f1-0f84415577d4.png,Pet Circle Insurance,2 Months Free Pet Insurance,,https://t.cfjump.com/90610/c/288152,PCI2FREE,2024-06-19 00:00:00.000,2025-11-30 23:59:59.000
