Id,DateCreated,DateModified,MerchantId,MerchantAvatar,MerchantCampaignName,Name,Description,TargetUrl,Code,StartDate,EndDate
288500,36:31.6,36:31.6,72806,https://c.cfjump.com/Avatars/b695840f-bba2-4512-b0b5-2c9d8f4aad8d.png,Ecoriginals,20% off Ecoriginals Nappies & Wipes,"Use code FIRST20 for 20% off your first Ecoriginals purchase of nappies or wipes! Applies to any one-time, full price Ecoriginals nappies or wipes. Applies to your first Ecoriginals purchase only. Does not apply to pre-discounted bundles or subscription products. Does not work in conjunction with any other promotions. Cannot be applied in retrospect. Subject to change.",https://t.cfjump.com/90610/c/288500,FIRST20,00:00.0,
288989,12:51.9,12:51.9,72806,https://c.cfjump.com/Avatars/b695840f-bba2-4512-b0b5-2c9d8f4aad8d.png,Ecoriginals,50% off Ecoriginals Nappies & Wipes Subscription ,Enjoy 50% off the RRP of your Ecoriginals Nappies or Wipes subscription. Applies to your first subscription order only. Use code SUB50. Applies once per customer. Offer subject to change.,https://t.cfjump.com/90610/c/288989,SUB50,00:00.0,
288990,14:01.7,14:01.7,72806,https://c.cfjump.com/Avatars/b695840f-bba2-4512-b0b5-2c9d8f4aad8d.png,Ecoriginals,30% off Ecoriginals Nappies & Wipes,Enjoy 30% off the RRP of your Ecoriginals Nappies or Wipes subscription. Applies to your first subscription order only. Use code WELCOME. Applies once per customer. Offer subject to change.,https://t.cfjump.com/90610/c/288990,WELCOME,00:00.0,
214615,55:18.6,55:18.6,66951,https://c.cfjump.com/Avatars/2fe3306c-2bf3-42d8-b6a3-da537d208f8b.png,Ergobaby,KANGA ADELAIDE HILLS,,https://t.cfjump.com/90610/c/214615,KANGAADELAIDEHILLS,00:00.0,
215877,53:49.0,53:49.0,80712,https://c.cfjump.com/Avatars/f2f4fa82-48d4-42be-a89e-bef948f24b65.png,Ezmio,Introductory 10% coupon for first time / new customer,,https://t.cfjump.com/90610/c/215877,HELLO10,00:00.0,
293600,39:40.8,39:40.8,9371,https://c.cfjump.com/Avatars/2680877e-fd2b-4d10-9df3-0bc925d2d560.png,Get Wines Direct,$40 Off Your First Order ,"This promotion will run from 25.03.2025 until midnight (11:59pm) 30/12/2025.

 This promotion can not be used in conjunction with any other promotions or loyalty discounts. 

One-time use per customer Can be used on First Time Orders Only.. 

 Failure to add promotional code 4NCCF23 at checkout will result in regular pricesat checkout ",https://t.cfjump.com/90610/c/293600,4NCCF23,00:00.0,59:59.0
288240,47:54.8,47:54.8,89534,https://c.cfjump.com/Avatars/bc02e577-694a-4a4a-945b-9904e60c6b2b.png,GiftBox,$5 OFF SWIG Insulated Drinkware,"$5 off all SWIG insulated drinkware when you spend $39 or more, not valid with any other offer.",https://t.cfjump.com/90610/c/288240,SWIG$5,00:00.0,
288241,50:16.9,50:16.9,89534,https://c.cfjump.com/Avatars/bc02e577-694a-4a4a-945b-9904e60c6b2b.png,GiftBox,$5 OFF Lava Lamps,"$5 off all lava lamps when you spend $39 or more, not valid with any other offer. ",https://t.cfjump.com/90610/c/288241,LAVA$5,00:00.0,
288242,52:09.1,52:09.1,89534,https://c.cfjump.com/Avatars/bc02e577-694a-4a4a-945b-9904e60c6b2b.png,GiftBox,$5 Off Candles,"$5 off all candles when you spend $39 or more, not valid with any other offer.",https://t.cfjump.com/90610/c/288242,CANDLE$5,00:00.0,
288243,54:32.1,54:32.1,89534,https://c.cfjump.com/Avatars/bc02e577-694a-4a4a-945b-9904e60c6b2b.png,GiftBox,$5 Off Blanket Hoodies,"$5 off all blanket hoodies when you spend $39 or more, not valid with any other offer.",https://t.cfjump.com/90610/c/288243,BLANKET$5,00:00.0,
